Feat,Description,Book,Str,Con,Dex,Int,Wis,Cha,Level,Race,Race2,Class,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Initiative,Speed,Surge Value,AC,Fortitude,Reflex,Will
Gorebrute Charge,+3 damage on charge during longtooth shifting,PHB2,,,,,,,,"Shifter, Longtooth",,,,,,,,,,,,,,,,,,,,,,,,,,
Group Stealth,Allies gain +2 stealth,PHB2,,,,,,,,Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,
Guaranteed Retribution,+1 vs. enemy when hit by another,PHB2,,,,,,,,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Focus,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Orb,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Rod,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Staff,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Symbol,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Totem,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Wand,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Expertise Weapon,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Armor of Faith,+1 bonus to AC with light armor,PHB2,,,,,,,,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Improved Bull Rush,+4 to bull rush attacks,PHB2,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Dragon Soul,Increased Dragon soul resistance,PHB2,,,,,,,,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Improved Grab,+4 to grab attacks,PHB2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Majestic Word,Grant 0 temporary HP with majestic word,PHB2,,,,,,,,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Improved Rageblood Vigor,Gain 5 extra HP from Rageblood vigor,PHB2,,,,,,,,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Improved Roar of Triumph,Roar of triumph becomes burst 5. +2 damage,PHB2,,,,,,,,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Insightful Preservation,Grant 3 to ally with preserver's rebuke,PHB2,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Invigorating Pursuit,+2 to AC and damage after charge,PHB2,,,,,,,,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Invoker Defense,+2 AC after hitting,PHB2,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Markings of the Blessed,Roll twice on first encounter saving throw,PHB2,,,,,,,,Goliath,,,,,,,,,,,,,,,,,,,,,,,,,,
Markings of the Victor,Roll twice on first encounter attack,PHB2,,,,,,,,Goliath,,,,,,,,,,,,,,,,,,,,,,,,,,
Melee Training,Use a different ability for melee basic attacks,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncoming Storm,+1 to attack with thunder after hit with lightning,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potent Rebirth,+2 at attack and damage after dropping to 0 HP,PHB2,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Primal Fury,+1 attack with primal powers vs. bloodied,PHB2,,,,,,,,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Primal Instinct,Grant reroll initiative to an ally,PHB2,,,,,,,,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Protector Spirit Adept,"+1 to fort, ref, will when adjacent to spirit companion",PHB2,,,,,,,,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Radiant Power,"Deal 2 extra radiant dmg, with -2 to hit",PHB2,,,,,,,,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Resonating Covenant,+1 to at-will after using encounter or daily,PHB2,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Restful Healing,Maximize healing during short rests,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revitalizing Font of Life,+2 saving throws after success on one,PHB2,,,,,,,,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Rising Fury,Gain +2 damage after kill,PHB2,,,,,,,,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Savage Assault,-1 to all defenses with furious assault,PHB2,,,,,,,,Half-orc,,,,,,,,,,,,,,,,,,,,,,,,,,
Scouring Wrath,Target gains vulnerable 2 with armor of wrath,PHB2,,,,,,,,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Skulk,Remain hidden on miss,PHB2,,,,,,,,Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,
Shared Healing Spirit,Extend range of target for healing spirit,PHB2,,,,,,,,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Sorcerous Blade Channeling,Used ranged power as melee attack,PHB2,,,,,,,,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Speed Loader,Load crossbow as free action,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Speaker,Grant speak with spirits to an ally,PHB2,,,,,,,,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Stalker Spirit Adept,Shift as free action for ally adjacent to spirit companion,PHB2,,,,,,,,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Strength of Valor,+2 damage with Virtue of Valor,PHB2,,,,,,,,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Sudden Roots,Slow enemy when opportunity attack hits,PHB2,,,,,,,,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Surging Flame,Extra 5 fire damage against fire resistant enemies,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirst for Battle,"+3 initiative, +1 healing surge",PHB2,,,,,,,,Half-orc,,,,,,,,,,,,,,,,,,,,0,,,,,,
Timely Respite,Make a saving throw with second wind,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-Weapon Threat,+3 damage on opportunity attacks wielding two weapons,PHB2,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Axe,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Bow,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Crossbow,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Flail,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Hammer,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Heavy Blade,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Light Blade,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Mace,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Pick,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Polearm,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Sling,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Spear,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Staff,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weapon Expertise Unarmed,+1 to attack,PHB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wildblood Cunning,Shift 0 with second wind,PHB2,,,,,,,,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Wild Senses,"+3 initiative, roll twice on perception to find tracks",PHB2,,,,,,,,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,0,,,,,,
Agile Opportunist,Opportunity attack with forced movement,PHB2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Flexibility,Change damage type on critical,PHB2,,,,,,,11,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Ascendant Lineage,Memory of 1000 lifetimes not expended on miss,PHB2,,,,,,,11,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Astral Renewal,+2 to attack with Astral Resistance,PHB2,,,,,,,11,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Beasthide Shifting,Resist 2 all damage when shifting,PHB2,,,,,,,11,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Charging Rampage,Free charge with Rampage,PHB2,,,,,,,11,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Cliffwalk Shifting,Gain climb full speed when shifting,PHB2,,,,,,,11,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Draconic Spellfury,Gain 0 temp HP on at-will hits,PHB2,,,,,,,11,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Earthstrength Resolve,Gain 0 temp HP when marked enemies attack others,PHB2,,,,,,,11,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Enhanced Font of Life,+1 Font of Life saving throws,PHB2,,,,,,,11,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Fade Ally,Fade away as burst 5,PHB2,,,,,,,11,Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Spirit,Resist 2 all dmg & +2 saving throws to unconscious allies,PHB2,,,,,,,11,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Hunting Wolf Form,+5 perception +1 speed as beast,PHB2,,,,,,,11,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Inexorable Pursuit,Ignore enemies and difficult terrrain when charging,PHB2,,,,,,,11,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Improved Cunning,Slide 2 with Virtue of Cunning,PHB2,,,,,,,11,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Improved Valor,+3 temp HP with Virtue of Valor,PHB2,,,,,,,11,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Lyric of Rejuvenation,Add 2 HP to Song of Rest effect,PHB2,,,,,,,11,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Nimble Spirit,Use Spirit companion as free action,PHB2,,,,,,,11,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Onslaught of Enmity,Shift 2 with Oath of Enmity,PHB2,,,,,,,11,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Overbearing Retribution,Target prone with Armor of wrath,PHB2,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Paragon Defenses,"+1 fort, ref and will defenses",PHB2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Preserver's Vengeance,+2 damage on divine attacks with nearby bloodied ally,PHB2,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Protected Isolation,+1 to AC when adjacent to your enemy,PHB2,,,,,,,11,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Quick Recovery,Regain 5 extra HP with healing surges while resting,PHB2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick Wild Shape,Use Wild Shape as a free action,PHB2,,,,,,,11,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Rageblood Recovery,Spend healing surge with Swift Charge,PHB2,,,,,,,11,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Reserve Maneuver,Extra choice of encounter power,PHB2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speaker of the Gods,Score crit on 18-20 after Channel Divinity,PHB2,,,,,,,11,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Stalking Panther Form,"+5 stealth, +4 init as beast",PHB2,,,,,,,11,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Strength from Pain,+5 damage when first bloodied,PHB2,,,,,,,11,Half-orc,,,,,,,,,,,,,,,,,,,,,,,,,,
Surprising Disappearance,Combat advantege with Fade Away,PHB2,,,,,,,11,Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaneborn Advance,Shift 0 with Roar of Triumph,PHB2,,,,,,,11,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Two-Weapon Opening,Free off hand attacks with crits,PHB2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrelenting Assault,Use Furious Assault on a miss,PHB2,,,,,,,11,Half-orc,,,,,,,,,,,,,,,,,,,,,,,,,,
Unyielding Stone,Gain 0 temp HP with Stone's endurance,PHB2,,,,,,,11,Goliath,,,,,,,,,,,,,,,,,,,,,,,,,,
Versatile Master,Use Dilettante power as at-will,PHB2,,,,,,,11,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,,
Vexing Flanker,Flanked enemies grant CA to allies,PHB2,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Spellfury,0 damage to adjacent enemies on at-will hits,PHB2,,,,,,,11,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Wildblood Speed,Shift 0 when marked enemy doesn't attack you,PHB2,,,,,,,11,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Stone,Resist 10 all with Stone's Endurance,PHB2,,,,,,,21,Goliath,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow Mastery,Bow and crossbow crits with 19 or 20,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burst of Savagery,End shifting to deal 2d6 damage and gain 10 temp HP,PHB2,,,,,,,21,"Shifter, Longtooth","Shifter, Razorclaw",,,,,,,,,,,,,,,,,,,,,,,,,
Enduring Font,Two saving throws with Font of life,PHB2,,,,,,,21,,,Warden,,,,,,,,,,,,,,,,,,,,,,,,
Enduring Rage,Dying don't make fall uncounscious,PHB2,,,,,,,21,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Epic Fortitude,+4 to fort,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Reflexes,+4 to reflex,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Will,+4 to will,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferocious Critical,+4 to attack and damage after crit,PHB2,,,,,,,21,Half-orc,,,,,,,,,,,,,,,,,,,,,,,,,,
Indomitable Will,"+2 will and +2 saving vs. dazed, dominated and stunned",PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Invoked Devastation,Increase blast or burst by 1,PHB2,,,,,,,21,,,Invoker,,,,,,,,,,,,,,,,,,,,,,,,
Long Arm of Virtue,Increase Bardic Virtue range by 5,PHB2,,,,,,,21,,,Bard,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Enemy,Target two enemies with Oath of enmity,PHB2,,,,,,,21,,,Avenger,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Spirit,Effects from the spirit companion extend to 2 squares,PHB2,,,,,,,21,,,Shaman,,,,,,,,,,,,,,,,,,,,,,,,
Opportune Reflexes,+2 ref and +2 saving vs. ongoing damage,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Primal Aspect Form,Gain regeneration 2 while bloodied and beast,PHB2,,,,,,,21,,,Druid,,,,,,,,,,,,,,,,,,,,,,,,
Primal Resurgence,Regain daily evocation 1/day,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Defenses,"+2 bonus to fort, ref and will",PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Sorcerous Flux,Swap rolls on multiple attacks,PHB2,,,,,,,21,,,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
Thaneborn Conqueror,-5 damage to targets of Roar of Triumph,PHB2,,,,,,,21,,,Barbarian,,,,,,,,,,,,,,,,,,,,,,,,
Transcendent Lineage,Re roll Memory of 1000 lifetimes,PHB2,,,,,,,21,Deva,,,,,,,,,,,,,,,,,,,,,,,,,,
Unyielding Fortitude,+2 fort and +2 death saving throws,PHB2,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Vanishing Act,Teleport with Fade away,PHB2,,,,,,,21,Gnome,,,,,,,,,,,,,,,,,,,,,,,,,,
Acolyte of Divine Secrets,Multiclass Invoker,PHB2,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Prodigy,Multiclass Sorcerer,PHB2,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bardic Dilettante,Multiclass Bard,PHB2,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserker's Fury,Multiclass Barbarian,PHB2,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defender of the Wild,Multiclass Warden,PHB2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciple of Divine Wrath,Multiclass Avenger,PHB2,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiate of the Old Faith,Multiclass Druid,PHB2,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spirit Talker,Multiclass Shaman,PHB2,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angharradh's Favor,Use C.Divinity to invoke Angharradh's Favor,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avowed Dragonfoe,"+1 Attack vs. Dragons, +2 when Bloodied",FR,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Berronar Salve,Use C.Divinity to invoke deity's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing of Silvanus,Use C.Divinity to invoke deity's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Shackles,"+1 Will, +2 Save vs. Charm",FR,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,0
Chauntea's Blessing,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clutch of Darkness,Increase Drow racial abilities,FR,,,,,,,,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Elemental Assault,+3 Damage to Assault of Aegis attacks,FR,,,,,,,,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Escalating Assault,Cumulative +1 bonus on Aegis of Assault attacks,FR,,,,,,,,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Extra Manifestation (Firesoul),Gain new Genasi elemental manifestation,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Manifestation (Earthsoul),Gain new Genasi elemental manifestation,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Manifestation (Stormsoul),Gain new Genasi elemental manifestation,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Manifestation (Watersoul),Gain new Genasi elemental manifestation,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Manifestation (Windsoul),Gain new Genasi elemental manifestation,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyes of Selune,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleetness of Mielikki,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostwise Heritage,Share Perception check with Ally within 10 squares,FR,,,,,,,,Halfling,,,,,,,,,,,,,,,,,,,,,,,,,,
Glittergold's Gambit,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Dwarf Pride,+1 Attack and Damage for Reviving during encounter,FR,,,,,,,,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Gond's Craft,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilmater's Martyrdom,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Swordbond,Minor: Call sword from 20 squares,FR,,,,,,,,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent Blademaster,Use Int instead of Str for basic melee attacks,FR,,,,,,,,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Kelemvor's Judgement,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifest Resistance,Increase resist value of manifestation by 5,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moon Elf Resilience,"May spend healing surge as free action with Bloodied Fey Step, and no Allies within 5 squares",FR,,,,,,,,Eladrin,,,,,,,,,,,,,,,,,,,,,,,,,,
Oghma's Recall,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power of Amaunator,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retributive Shield,+2 on next attack vs. foe that triggered Aegis of Shielding,FR,,,,,,,,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Righteous Rage of Tempus,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruthless Hunter,Hand crossbow does 1d8 and High Crit,FR,,,,,,,,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Scion of the Gods,+1 to Fort and Will ,FR,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,0,,0
Sheela Peryroyl's Gift,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield of Shadows,+2 Ref while within Cloud of Darkness,FR,,,,,,,,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Shield of Fallen,Adjectent injured allies gain +2 saving throws and defence,FR,,,,,,,,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Stubborn Survivor,+2 Saving throws when you have no action points left,FR,,,,,,,,Human,,,,,,,,,,,,,,,,,,,,,,,,,,
Student of Sword Magic,Gain a Spellbook for Swordmage spells,FR,,,,,,,,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Sun Elf Grace,+1 Defence if Fey Step before bloodied,FR,,,,,,,,Eladrin,,,,,,,,,,,,,,,,,,,,,,,,,,
Sune's Touch,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torm's Justice,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tymora's Coln,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Versatile Resistance,"Gain Resist 5 Cold, Fire, and Thunder",FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukeen's Silver Tongue,Use C.Divinity to invoke diety's power,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Elf Luck,+1d4 Bonus to Elven Accuracy,FR,,,,,,,,Elf,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Elf Agility,Acrobatics/Athletics rolls of 2-7 are automatically 8,FR,,,,,,,,Elf,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,
Demonweb Spiral,Enemies hit with Darkspiral Aura are immobilized,FR,,,,,,,11,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Distant Swordbond,Call weapon from 1 mile away as minor action,FR,,,,,,,11,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Double Aegis,Mark 2 targets with Aegis power,FR,,,,,,,11,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Improved Darkspiral Aura,Increase damage die of Darkspiral Aura,FR,,,,,,,11,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Master of Fire and Darkness,Use both Cloud of Darkness and Darkfire 1/encounter,FR,,,,,,,11,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Merciless Killer,+5 damage against with combat advantage against bloodied foe,FR,,,,,,,11,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
Moongleam Oath,+1 Attack and Damage vs. Shadow creatures,FR,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shocking Flame,+2 damage when Fire or Stormsoul (+4 level 21),FR,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stoneguard,+2 AC vs. Ranged when Earthsoul,FR,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormrider,+1 Speed when Water or Windsoul,FR,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venemous Heritage,Gain resist 5 poisin and +2 save vs. poison,FR,,,,,,,11,Drow,,,,,,,,,,,,,,,,,,,,,,,,,,
War Wizardry,"-5 attack, half damage to spells vs. allies",FR,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Manifestation,Use 2 elemental manifestations simultaneously,FR,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Aegis,Mark any number of tagerts in burst with Aegis power,FR,,,,,,,21,,,Swordmage,,,,,,,,,,,,,,,,,,,,,,,,
Martial Alacrity,+2 Init and shift during your first turn,MP,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martial Freedom,+5 Save vs Slow and Immobilized,MP,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodied Invigoration,Invigoration grants +2 temp HP when bloodied,MP,,13,,,,,,Dragonborn,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Bracing Breath,Dragon Breath gives +1 Attack with Invigorating powers,MP,,13,,,,,,Dragonborn,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Deep Gash,Enemy takes -2 to save vs. ongoing damage,MP,,15,,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Resilience,+1 to all defense with bloodied second wind,MP,,13,,,13,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Devoted Challenge,Add Wis bonus to melee basic attacks,MP,,,,,,,,Dwarf,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Fighting,+4 melee damage vs. surprised foe,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragging Flail,Slide enemy 1 square when knocked prone with flail,MP,,,15,,,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf Stoneblood,+2 to Battlerager Vigor temp HP,MP,,,,,,,,Dwarf,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Fey Blades,+1 damage with Longsword in each hand,MP,,,,,,,,Eladrin,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Group Assault,Allies gain +1 damage vs. your mark,MP,,,,,,,,Half-elf,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Halfling Stalwart,+1 Attack vs. Large or larger foe,MP,,,,,,,,Halfling,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
